RUNNING 2021-08-13 16:28:57.104856
Line ['5626', '2020-10-16', '24:10:13', '65124', '1658', '847', '23', '2020-12-23', '14:32:18', '2020-11-24', '23:52:15'] has been removed.
Line ['28148', '2020-10-11', '12:25:29', '42640', '9281', '175', '5', '2020-12-11', '23:53:41', '2020-10-20', '24:15:15'] has been removed.
Line ['90089', '2020-10-13', '24:57:55', '15321', '4378', '439', '9', '2020-10-13', '17:44:17', '2020-12-27', '14:36:31'] has been removed.
Line ['44655', '2020-11-24', '12:28:17', '25393', '8001', '704', '47', '2020-10-19', '24:38:48', '2020-11-27', '17:19:32'] has been removed.
Line ['83526', '2020-12-24', '24:27:27', '48211', '9030', '803', '12', '2020-10-11', '13:54:20', '2020-11-23', '15:24:37'] has been removed.
Line ['85380', '2020-11-25', '24:52:49', '47028', '4241', '445', '1', '2020-12-25', '20:59:22', '2020-11-12', '20:47:50'] has been removed.
Line ['81253', '2020-10-17', '12:31:30', '36408', '1652', '570', '48', '2020-11-22', '14:24:59', '2020-10-16', '24:12:23'] has been removed.
Line ['73332', '2020-10-28', '23:24:28', '18177', '2635', '504', '49', '2020-11-18', '24:30:10', '2020-12-25', '14:12:46'] has been removed.
Line ['52545', '2020-11-19', '15:26:14', '21297', '3782', '734', '43', '2020-11-25', '24:42:30', '2020-10-30', '20:48:22'] has been removed.
Line ['92828', '2020-10-22', '16:55:50', '60265', '9390', '452', '36', '2020-11-23', '21:23:53', '2020-12-23', '24:49:21'] has been removed.
Line ['28170', '2020-12-23', '24:51:48', '41279', '7846', '890', '30', '2020-12-24', '12:41:46', '2020-10-12', '13:24:43'] has been removed.
Line ['67302', '2020-10-10', '14:51:19', '24841', '9224', '697', '18', '2020-11-16', '24:55:33', '2020-11-19', '12:42:13'] has been removed.
Line ['82249', '2020-11-21', '24:53:52', '95848', '1989', '413', '26', '2020-11-30', '18:14:18', '2020-10-29', '20:35:17'] has been removed.
Line ['53837', '2020-12-11', '24:54:38', '74769', '8279', '814', '42', '2020-10-27', '23:37:41', '2020-10-22', '22:15:46'] has been removed.
Line ['68339', '2020-12-14', '24:48:11', '7979', '7107', '444', '4', '2020-11-18', '23:19:33', '2020-10-18', '12:57:24'] has been removed.
Line ['26498', '2020-10-28', '24:11:26', '82332', '2379', '504', '34', '2020-10-17', '12:53:48', '2020-12-21', '18:52:26'] has been removed.
Line ['89472', '2020-10-15', '19:19:53', '75387', '8500', '754', '30', '2020-10-26', '24:52:42', '2020-11-16', '21:19:12'] has been removed.
Line ['34194', '2020-10-10', '24:26:16', '12726', '8169', '126', '48', '2020-11-12', '23:47:39', '2020-11-25', '24:56:39'] has been removed.
RUNNING 2021-08-13 16:31:07.646132
Line ['5626', '2020-10-16', '24:10:13', '65124', '1658', '847', '23', '2020-12-23', '14:32:18', '2020-11-24', '23:52:15'] has been removed.
Line ['51113', '2020-12-22', '24:49:19', '98150', '4135', '712', '7', '2020-10-16', '15:52:53', '2020-11-20', '15:19:28'] has been removed.
Line ['27458', '2020-10-17', '24:56:14', '85731', '8128', '271', '50', '2020-12-23', '22:10:57', '2020-10-18', '24:18:47'] has been removed.
Line ['30689', '2020-12-16', '24:15:56', '39740', '5487', '234', '24', '2020-12-14', '19:15:25', '2020-12-23', '14:39:40'] has been removed.
Line ['44412', '2020-12-28', '23:40:22', '20133', '9481', '403', '29', '2020-11-13', '22:19:59', '2020-10-30', '24:25:37'] has been removed.
Line ['85870', '2020-11-18', '13:33:40', '98416', '5816', '740', '2', '2020-12-30', '18:56:16', '2020-10-12', '24:27:23'] has been removed.
Line ['89609', '2020-10-28', '24:12:22', '33334', '9807', '748', '15', '2020-11-13', '21:45:44', '2020-12-19', '22:51:47'] has been removed.
Line ['43283', '2020-12-27', '24:46:49', '24010', '6687', '489', '7', '2020-11-16', '14:24:27', '2020-11-22', '24:39:54'] has been removed.
Line ['2716', '2020-11-20', '18:44:15', '76630', '9273', '45', '18', '2020-12-16', '24:51:29', '2020-12-20', '21:30:52'] has been removed.
Line ['8803', '2020-12-24', '22:39:49', '68963', '6615', '481', '1', '2020-10-21', '24:47:38', '2020-12-28', '20:53:10'] has been removed.
Line ['98589', '2020-10-23', '16:34:42', '44505', '7853', '110', '1', '2020-12-13', '24:36:47', '2020-11-24', '12:35:40'] has been removed.
Line ['66023', '2020-10-15', '16:12:47', '81523', '9998', '630', '16', '2020-11-27', '24:51:59', '2020-10-11', '13:32:40'] has been removed.
Line ['10269', '2020-10-24', '18:55:26', '62626', '9189', '795', '37', '2020-12-30', '16:41:29', '2020-12-28', '24:34:36'] has been removed.
Line ['22668', '2020-12-18', '24:37:52', '65040', '4807', '2', '32', '2020-11-19', '19:25:56', '2020-10-20', '21:50:21'] has been removed.
Line ['55500', '2020-10-30', '24:27:54', '91732', '4501', '904', '28', '2020-12-13', '12:47:24', '2020-12-10', '24:17:41'] has been removed.
Line ['5543', '2020-11-22', '21:53:19', '47110', '6102', '892', '33', '2020-11-23', '24:59:46', '2020-11-10', '20:32:48'] has been removed.
Line ['67966', '2020-11-29', '24:10:19', '88360', '2035', '380', '12', '2020-10-28', '23:15:54', '2020-12-18', '17:24:52'] has been removed.
Line ['34142', '2020-10-12', '24:27:38', '46752', '3356', '846', '17', '2020-10-24', '22:26:40', '2020-10-11', '16:35:18'] has been removed.
Line ['74987', '2020-12-26', '20:50:32', '55149', '4904', '232', '42', '2020-10-10', '24:33:48', '2020-12-16', '18:27:26'] has been removed.
Line ['19056', '2020-12-30', '24:41:48', '80334', '4731', '417', '49', '2020-10-21', '22:31:14', '2020-10-10', '14:45:47'] has been removed.
Line ['9360', '2020-10-17', '24:27:11', '69321', '3795', '579', '36', '2020-11-29', '23:54:13', '2020-12-29', '13:29:29'] has been removed.
Line ['35558', '2020-10-10', '23:30:12', '8052', '4914', '506', '49', '2020-10-18', '24:32:12', '2020-10-29', '19:22:35'] has been removed.
Line ['48929', '2020-12-27', '24:16:29', '72424', '6009', '190', '44', '2020-10-10', '22:23:45', '2020-11-28', '18:27:29'] has been removed.
Line ['26817', '2020-10-18', '23:55:50', '4923', '6708', '487', '46', '2020-11-29', '24:22:45', '2020-12-13', '19:31:21'] has been removed.
Line ['18827', '2020-12-21', '24:53:51', '65914', '8110', '861', '24', '2020-11-16', '24:40:58', '2020-10-22', '14:32:19'] has been removed.
Line ['10743', '2020-11-18', '24:15:30', '81454', '5867', '525', '21', '2020-11-20', '17:40:22', '2020-12-13', '20:24:54'] has been removed.
Line ['56187', '2020-10-23', '24:45:42', '46090', '9767', '614', '45', '2020-12-25', '17:12:38', '2020-11-11', '12:42:45'] has been removed.
Line ['6388', '2020-10-18', '24:26:34', '51250', '6014', '349', '4', '2020-11-25', '23:44:25', '2020-10-21', '24:40:46'] has been removed.
Line ['64463', '2020-10-28', '20:58:13', '17609', '9120', '142', '46', '2020-11-26', '22:33:29', '2020-11-29', '24:23:47'] has been removed.
Line ['70028', '2020-12-10', '23:33:42', '52901', '5255', '975', '1', '2020-10-18', '17:33:28', '2020-10-21', '24:37:11'] has been removed.
Line ['40185', '2020-10-24', '24:34:57', '87147', '5779', '955', '46', '2020-11-26', '18:42:36', '2020-10-13', '18:20:52'] has been removed.
Line ['17781', '2020-11-11', '21:55:16', '35670', '4585', '399', '21', '2020-11-25', '24:14:55', '2020-12-12', '17:38:49'] has been removed.
Line ['71396', '2020-11-19', '14:54:43', '8523', '7410', '960', '15', '2020-12-14', '24:35:19', '2020-12-26', '20:45:20'] has been removed.
Line ['89606', '2020-10-27', '23:15:30', '18782', '2655', '252', '16', '2020-10-12', '24:49:11', '2020-12-28', '14:35:38'] has been removed.
Line ['44176', '2020-12-24', '20:20:41', '90323', '7493', '298', '2', '2020-11-19', '24:51:45', '2020-10-13', '14:21:18'] has been removed.
Line ['61588', '2020-12-13', '17:22:46', '80758', '1203', '573', '28', '2020-12-23', '21:45:12', '2020-12-15', '24:51:33'] has been removed.
Line ['31324', '2020-12-12', '24:20:10', '17061', '5047', '530', '43', '2020-11-24', '24:52:48', '2020-11-23', '18:44:39'] has been removed.
Line ['70802', '2020-12-16', '23:49:24', '84480', '8334', '967', '50', '2020-10-10', '24:55:56', '2020-10-10', '17:18:42'] has been removed.
Line ['43727', '2020-12-13', '21:57:47', '43884', '5693', '424', '44', '2020-10-25', '24:58:23', '2020-11-30', '17:16:40'] has been removed.
Line ['46701', '2020-11-21', '24:41:50', '18929', '7861', '384', '32', '2020-12-21', '14:13:44', '2020-12-21', '13:28:23'] has been removed.
Line ['44321', '2020-12-23', '24:36:22', '10134', '1260', '286', '6', '2020-11-15', '22:41:57', '2020-12-23', '13:55:59'] has been removed.
Line ['57657', '2020-10-14', '14:28:17', '68523', '6699', '930', '11', '2020-11-10', '24:34:13', '2020-11-20', '17:50:35'] has been removed.
Line ['72752', '2020-10-22', '24:53:28', '52984', '8805', '198', '3', '2020-11-11', '16:33:29', '2020-10-15', '24:42:42'] has been removed.
Line ['88894', '2020-11-22', '14:46:14', '51707', '4141', '155', '12', '2020-10-16', '24:46:27', '2020-11-24', '19:32:34'] has been removed.
Line ['68953', '2020-11-20', '15:49:17', '74222', '4710', '627', '44', '2020-12-12', '24:30:53', '2020-10-16', '22:40:51'] has been removed.
Line ['4878', '2020-11-10', '24:20:46', '60002', '7577', '43', '40', '2020-10-29', '21:35:59', '2020-10-18', '23:56:31'] has been removed.
Line ['29666', '2020-11-22', '18:19:37', '89973', '1398', '10', '28', '2020-12-25', '24:30:54', '2020-12-13', '15:29:16'] has been removed.
Line ['33442', '2020-12-24', '24:43:59', '4119', '9124', '268', '19', '2020-10-16', '18:31:56', '2020-10-18', '16:43:23'] has been removed.
Line ['44813', '2020-10-16', '24:14:27', '92079', '9234', '515', '2', '2020-10-27', '12:37:41', '2020-12-22', '23:45:18'] has been removed.
Line ['85632', '2020-10-25', '24:24:49', '73017', '9988', '355', '4', '2020-12-22', '13:11:35', '2020-12-11', '16:29:45'] has been removed.
Line ['40703', '2020-12-22', '23:12:42', '62447', '9557', '526', '47', '2020-12-30', '24:36:31', '2020-11-26', '21:41:14'] has been removed.
Line ['53920', '2020-11-15', '24:42:23', '64196', '8196', '589', '39', '2020-11-29', '19:48:31', '2020-12-25', '21:55:23'] has been removed.
Line ['99198', '2020-10-15', '16:58:14', '79429', '9572', '770', '34', '2020-11-28', '24:17:22', '2020-10-13', '16:32:15'] has been removed.
Line ['51574', '2020-10-24', '17:28:56', '75421', '7405', '889', '22', '2020-11-16', '24:56:22', '2020-11-22', '23:56:22'] has been removed.
Line ['58196', '2020-10-15', '24:24:49', '5429', '3570', '19', '19', '2020-10-26', '15:53:30', '2020-11-27', '23:42:37'] has been removed.
Line ['5033', '2020-10-12', '13:44:16', '6303', '5377', '853', '35', '2020-12-30', '19:21:54', '2020-10-16', '24:46:18'] has been removed.
Line ['36285', '2020-12-22', '12:38:23', '82404', '5791', '954', '44', '2020-11-21', '20:40:26', '2020-10-27', '24:20:30'] has been removed.
Line ['52710', '2020-12-25', '21:29:25', '8408', '1108', '218', '25', '2020-12-11', '14:47:35', '2020-10-16', '24:32:14'] has been removed.
Line ['53087', '2020-12-30', '21:45:58', '63926', '7878', '288', '4', '2020-11-28', '24:46:38', '2020-10-21', '21:53:53'] has been removed.
Line ['31337', '2020-10-20', '18:41:22', '87396', '2328', '291', '11', '2020-12-23', '24:27:54', '2020-12-23', '22:21:37'] has been removed.
Line ['18555', '2020-11-24', '24:52:47', '8733', '5988', '320', '44', '2020-11-15', '18:52:16', '2020-11-23', '15:45:41'] has been removed.
Line ['14361', '2020-11-25', '17:18:42', '99658', '3945', '742', '13', '2020-10-16', '20:44:36', '2020-12-30', '24:44:17'] has been removed.
Line ['55706', '2020-11-27', '24:28:13', '78231', '2870', '986', '6', '2020-10-28', '21:21:39', '2020-12-15', '20:39:48'] has been removed.
Line ['82722', '2020-12-20', '24:27:22', '21719', '5030', '540', '8', '2020-10-19', '19:25:43', '2020-11-21', '18:33:31'] has been removed.
Line ['95061', '2020-12-22', '18:28:26', '13461', '1219', '258', '16', '2020-10-17', '24:32:35', '2020-10-28', '24:42:42'] has been removed.
Line ['49810', '2020-11-15', '21:52:47', '12853', '9950', '647', '33', '2020-12-11', '24:20:51', '2020-10-18', '24:58:21'] has been removed.
Line ['22045', '2020-10-16', '15:30:36', '40383', '9829', '501', '29', '2020-12-24', '20:15:26', '2020-12-26', '24:57:34'] has been removed.
Line ['53093', '2020-11-24', '24:27:33', '35947', '7233', '354', '20', '2020-11-24', '20:59:22', '2020-11-10', '13:30:42'] has been removed.
Line ['12004', '2020-11-22', '18:12:52', '20838', '9320', '443', '27', '2020-12-12', '14:44:37', '2020-10-21', '24:24:13'] has been removed.
Line ['75730', '2020-10-12', '20:53:41', '41052', '4883', '304', '34', '2020-11-21', '24:34:13', '2020-10-29', '12:28:11'] has been removed.
Line ['89443', '2020-12-15', '21:41:40', '89912', '6140', '600', '40', '2020-11-25', '15:39:28', '2020-12-24', '24:35:39'] has been removed.
Line ['62430', '2020-11-28', '24:34:38', '22532', '6348', '428', '22', '2020-12-24', '19:23:57', '2020-12-26', '23:55:25'] has been removed.
Line ['47974', '2020-10-12', '23:47:56', '75473', '2181', '6', '27', '2020-10-11', '21:27:55', '2020-12-12', '24:14:49'] has been removed.
Line ['23058', '2020-10-12', '24:28:16', '90534', '9591', '905', '43', '2020-12-28', '24:11:22', '2020-10-17', '15:50:42'] has been removed.
Line ['25659', '2020-10-16', '18:59:25', '21281', '4796', '923', '24', '2020-10-23', '24:23:54', '2020-12-27', '19:26:14'] has been removed.
Line ['9133', '2020-10-17', '24:42:28', '11684', '5526', '120', '30', '2020-11-22', '23:21:17', '2020-11-16', '16:49:36'] has been removed.
Line ['83636', '2020-11-14', '13:54:31', '68757', '6987', '720', '36', '2020-12-16', '24:38:16', '2020-10-16', '22:49:42'] has been removed.
Line ['87074', '2020-10-27', '23:56:56', '78072', '7158', '555', '48', '2020-11-19', '24:13:51', '2020-11-23', '13:29:39'] has been removed.
Line ['58918', '2020-12-25', '15:50:49', '82030', '2052', '934', '7', '2020-10-24', '24:43:54', '2020-11-14', '21:44:52'] has been removed.
Line ['43051', '2020-12-13', '24:51:31', '97080', '1278', '254', '26', '2020-11-20', '24:34:41', '2020-11-26', '17:29:56'] has been removed.
Line ['49679', '2020-10-19', '20:31:14', '23851', '1507', '521', '33', '2020-12-26', '24:12:52', '2020-10-13', '24:41:38'] has been removed.
Line ['79617', '2020-10-12', '24:55:49', '75055', '2729', '82', '36', '2020-10-28', '14:35:39', '2020-11-22', '24:51:34'] has been removed.
Line ['49658', '2020-12-14', '19:50:25', '23211', '2576', '629', '19', '2020-11-25', '21:47:56', '2020-11-16', '24:17:36'] has been removed.
Line ['65569', '2020-11-25', '19:12:19', '2339', '8769', '741', '18', '2020-12-23', '22:12:21', '2020-10-10', '24:37:53'] has been removed.
Line ['11035', '2020-10-18', '24:50:35', '1771', '9451', '950', '9', '2020-12-28', '24:30:15', '2020-11-14', '23:18:16'] has been removed.
Line ['80978', '2020-11-24', '16:11:43', '32999', '9265', '934', '22', '2020-12-22', '24:55:59', '2020-11-17', '24:14:45'] has been removed.
Line ['80239', '2020-11-15', '20:56:24', '50069', '3838', '479', '6', '2020-10-25', '24:37:51', '2020-11-10', '12:22:47'] has been removed.
Line ['15328', '2020-11-22', '17:25:22', '62057', '2768', '473', '46', '2020-12-27', '24:50:12', '2020-11-11', '18:50:19'] has been removed.
Line ['88365', '2020-10-20', '12:31:43', '46925', '6773', '745', '32', '2020-10-21', '18:10:43', '2020-11-17', '24:52:49'] has been removed.
Line ['69698', '2020-12-28', '12:13:17', '28337', '2599', '891', '14', '2020-10-26', '24:35:59', '2020-10-10', '18:52:37'] has been removed.
Line ['26816', '2020-12-28', '20:18:12', '74859', '7223', '926', '25', '2020-12-27', '22:12:38', '2020-10-12', '24:58:44'] has been removed.
Line ['10063', '2020-12-25', '18:51:47', '76144', '6878', '545', '15', '2020-12-17', '24:24:28', '2020-10-18', '17:54:34'] has been removed.
Line ['33200', '2020-10-15', '14:30:13', '97713', '5232', '150', '22', '2020-11-16', '24:55:45', '2020-10-10', '13:20:16'] has been removed.
Line ['29669', '2020-10-27', '19:14:36', '21325', '8789', '113', '6', '2020-12-21', '21:18:34', '2020-10-24', '24:14:14'] has been removed.
Line ['38449', '2020-11-11', '19:31:34', '95938', '9320', '673', '42', '2020-11-21', '24:36:53', '2020-10-10', '21:59:31'] has been removed.
Line ['33450', '2020-11-16', '24:57:30', '69737', '2314', '697', '45', '2020-10-12', '21:19:22', '2020-12-17', '14:50:45'] has been removed.
Line ['19718', '2020-11-10', '18:11:25', '81156', '6033', '892', '39', '2020-11-20', '23:17:44', '2020-11-16', '24:51:46'] has been removed.
Line ['14359', '2020-11-16', '17:54:45', '43591', '4563', '172', '35', '2020-12-15', '12:18:56', '2020-10-17', '24:20:38'] has been removed.
Line ['17712', '2020-11-24', '13:21:42', '45935', '9842', '128', '30', '2020-11-25', '24:43:55', '2020-10-21', '15:14:11'] has been removed.
Line ['82463', '2020-12-14', '18:14:47', '37702', '3982', '779', '1', '2020-12-23', '18:56:23', '2020-11-25', '24:16:15'] has been removed.
Line ['10128', '2020-10-21', '20:38:35', '33515', '4547', '514', '35', '2020-10-21', '12:12:43', '2020-12-27', '24:22:18'] has been removed.
Line ['30215', '2020-11-15', '19:34:39', '13008', '3726', '238', '31', '2020-12-24', '13:38:19', '2020-10-12', '24:27:27'] has been removed.
Line ['80666', '2020-12-17', '24:17:58', '93998', '3306', '318', '28', '2020-10-20', '24:23:31', '2020-10-21', '17:56:35'] has been removed.
Line ['24367', '2020-11-28', '14:45:25', '94783', '3857', '584', '5', '2020-12-30', '21:23:38', '2020-10-15', '24:42:58'] has been removed.
Line ['78975', '2020-10-28', '13:55:30', '3786', '1157', '413', '39', '2020-11-16', '24:30:53', '2020-12-27', '12:13:34'] has been removed.
Line ['15175', '2020-11-23', '21:11:39', '34267', '5657', '523', '6', '2020-11-23', '19:50:51', '2020-10-12', '24:33:21'] has been removed.
Line ['74742', '2020-10-14', '21:53:38', '51585', '8765', '358', '25', '2020-11-29', '24:14:46', '2020-10-24', '13:34:58'] has been removed.
Line ['88053', '2020-10-20', '23:34:58', '88370', '3349', '836', '1', '2020-12-17', '20:51:16', '2020-12-29', '24:29:46'] has been removed.
Line ['22813', '2020-10-10', '15:23:30', '26997', '7718', '435', '43', '2020-10-26', '15:23:36', '2020-11-10', '24:11:18'] has been removed.
Line ['29964', '2020-12-26', '15:47:16', '25029', '6767', '250', '43', '2020-11-19', '20:55:57', '2020-12-29', '24:10:46'] has been removed.
Line ['54177', '2020-12-26', '24:41:47', '34652', '5074', '217', '17', '2020-11-20', '19:32:42', '2020-11-23', '15:54:16'] has been removed.
Line ['32237', '2020-12-13', '18:26:12', '90553', '2239', '725', '32', '2020-10-16', '24:15:54', '2020-12-15', '22:34:59'] has been removed.
Line ['30054', '2020-10-20', '14:23:23', '25174', '2570', '915', '15', '2020-10-30', '15:33:47', '2020-12-30', '24:50:26'] has been removed.
Line ['14141', '2020-12-15', '24:58:28', '55203', '1384', '832', '37', '2020-12-11', '17:22:40', '2020-10-30', '22:27:19'] has been removed.
Line ['42577', '2020-11-18', '16:35:31', '96631', '9235', '29', '48', '2020-11-13', '24:33:37', '2020-12-22', '21:12:48'] has been removed.
Line ['46327', '2020-11-28', '24:57:18', '28292', '9654', '986', '20', '2020-11-21', '14:35:18', '2020-12-27', '14:10:39'] has been removed.
Line ['78659', '2020-11-12', '17:18:40', '69398', '6351', '298', '36', '2020-12-26', '24:35:32', '2020-10-13', '22:17:38'] has been removed.
Line ['33767', '2020-10-19', '24:24:50', '9309', '4118', '911', '15', '2020-10-11', '21:56:35', '2020-10-27', '24:50:24'] has been removed.
Line ['33883', '2020-10-26', '12:47:29', '45837', '2076', '941', '45', '2020-12-26', '24:21:26', '2020-11-22', '15:19:53'] has been removed.
Line ['34555', '2020-12-30', '24:11:32', '2104', '4987', '991', '40', '2020-12-21', '17:13:33', '2020-11-24', '17:58:20'] has been removed.
Line ['82585', '2020-11-14', '24:16:55', '8357', '4858', '456', '15', '2020-11-18', '15:57:20', '2020-10-14', '22:37:32'] has been removed.
Line ['23193', '2020-11-15', '17:56:55', '43496', '1246', '640', '18', '2020-11-13', '24:44:10', '2020-11-19', '24:56:28'] has been removed.
Line ['14431', '2020-10-26', '17:55:12', '26620', '4201', '155', '5', '2020-10-18', '24:31:26', '2020-11-12', '12:14:17'] has been removed.
Line ['92996', '2020-12-14', '15:31:18', '31015', '6083', '316', '2', '2020-12-16', '19:26:30', '2020-10-13', '24:26:33'] has been removed.
Line ['22116', '2020-10-14', '22:45:11', '98723', '9553', '195', '34', '2020-10-12', '13:38:41', '2020-10-18', '24:42:21'] has been removed.
Line ['63135', '2020-12-25', '18:44:26', '81611', '4955', '806', '22', '2020-10-28', '24:31:53', '2020-11-30', '19:11:11'] has been removed.
Line ['34304', '2020-10-27', '23:26:21', '83438', '6374', '612', '14', '2020-10-27', '24:33:12', '2020-12-20', '19:23:41'] has been removed.
Line ['4084', '2020-10-28', '24:44:35', '53082', '1541', '19', '42', '2020-11-22', '16:16:12', '2020-11-20', '12:21:21'] has been removed.
Line ['32834', '2020-12-18', '19:17:11', '1099', '7978', '871', '49', '2020-12-10', '24:25:54', '2020-10-23', '17:22:27'] has been removed.
Line ['85115', '2020-12-28', '21:53:20', '80377', '1164', '294', '4', '2020-10-21', '24:31:38', '2020-12-30', '15:13:31'] has been removed.
Line ['43032', '2020-11-20', '24:44:37', '53235', '6787', '517', '21', '2020-10-27', '22:13:18', '2020-10-25', '19:28:12'] has been removed.
Line ['34565', '2020-10-16', '24:15:57', '33703', '8560', '77', '47', '2020-12-19', '19:27:13', '2020-11-24', '18:23:10'] has been removed.
Line ['41778', '2020-10-16', '24:27:18', '25353', '6910', '589', '5', '2020-11-15', '19:44:55', '2020-10-26', '20:37:57'] has been removed.
Line ['75333', '2020-10-28', '17:48:12', '9215', '5843', '55', '40', '2020-11-11', '21:15:28', '2020-11-11', '24:41:18'] has been removed.
Line ['26383', '2020-10-24', '23:10:50', '14416', '9885', '577', '11', '2020-11-28', '19:56:21', '2020-12-10', '24:53:17'] has been removed.
Line ['4106', '2020-12-24', '13:50:34', '41455', '5354', '426', '7', '2020-10-16', '24:29:35', '2020-10-28', '19:23:56'] has been removed.
Line ['76496', '2020-10-26', '24:24:38', '71089', '6231', '761', '33', '2020-12-23', '14:17:13', '2020-10-15', '16:59:10'] has been removed.
Line ['9848', '2020-10-24', '24:25:11', '30964', '9002', '240', '50', '2020-12-21', '20:10:37', '2020-12-22', '21:59:22'] has been removed.
Line ['38782', '2020-10-15', '14:18:21', '45724', '4128', '606', '38', '2020-12-20', '24:46:35', '2020-12-17', '24:32:27'] has been removed.
Line ['77714', '2020-12-24', '19:29:33', '34693', '3809', '928', '15', '2020-12-11', '24:52:53', '2020-11-17', '20:47:43'] has been removed.
Line ['22971', '2020-11-21', '17:42:39', '53360', '5580', '818', '34', '2020-11-30', '24:46:40', '2020-11-24', '12:33:58'] has been removed.
Line ['99972', '2020-12-18', '19:11:56', '29937', '9068', '830', '30', '2020-11-22', '24:55:49', '2020-10-24', '21:22:21'] has been removed.
Line ['96313', '2020-11-19', '24:40:10', '6921', '3322', '133', '21', '2020-10-29', '21:41:59', '2020-12-12', '22:32:58'] has been removed.
Line ['54405', '2020-12-16', '24:25:31', '77485', '5014', '868', '14', '2020-11-17', '20:17:16', '2020-11-15', '14:32:13'] has been removed.
Line ['73988', '2020-11-28', '24:34:32', '97158', '1894', '625', '50', '2020-11-20', '17:21:10', '2020-10-13', '23:25:41'] has been removed.
Line ['37748', '2020-11-16', '17:44:34', '94819', '9981', '43', '35', '2020-10-10', '13:33:55', '2020-10-24', '24:49:25'] has been removed.
Line ['98187', '2020-12-22', '24:13:31', '36874', '1012', '7', '15', '2020-11-15', '22:13:24', '2020-12-10', '15:59:51'] has been removed.
Line ['73676', '2020-11-18', '14:43:42', '57726', '4249', '705', '38', '2020-11-17', '24:26:24', '2020-10-18', '15:42:42'] has been removed.
Line ['59539', '2020-11-14', '15:57:39', '21038', '4764', '94', '24', '2020-11-29', '24:12:41', '2020-11-10', '14:44:15'] has been removed.
Line ['51947', '2020-12-29', '24:56:50', '13759', '3143', '767', '21', '2020-12-10', '20:41:38', '2020-11-28', '19:16:16'] has been removed.
Line ['2944', '2020-12-21', '21:13:24', '63210', '3765', '276', '27', '2020-11-22', '24:14:23', '2020-12-13', '18:58:41'] has been removed.
Line ['98821', '2020-10-11', '13:27:49', '64166', '6610', '314', '36', '2020-11-13', '24:30:11', '2020-12-11', '13:47:54'] has been removed.
Line ['13517', '2020-12-16', '19:21:11', '83252', '5896', '652', '43', '2020-10-10', '24:27:56', '2020-12-29', '15:54:31'] has been removed.
Line ['40742', '2020-10-18', '24:47:25', '19073', '9621', '10', '39', '2020-11-24', '24:57:15', '2020-10-19', '20:26:18'] has been removed.
Line ['9661', '2020-10-21', '12:32:49', '71891', '3056', '359', '18', '2020-11-16', '24:45:58', '2020-10-11', '15:28:44'] has been removed.
Line ['65532', '2020-12-23', '21:33:53', '94358', '9343', '239', '22', '2020-11-14', '17:38:15', '2020-10-22', '24:45:13'] has been removed.
Line ['30986', '2020-12-28', '22:22:14', '62732', '3193', '186', '5', '2020-11-23', '23:17:38', '2020-11-20', '24:10:15'] has been removed.
Line ['19515', '2020-11-29', '22:50:46', '64505', '4290', '321', '25', '2020-12-16', '24:45:51', '2020-10-17', '14:41:21'] has been removed.
Line ['48236', '2020-10-20', '13:40:32', '34151', '4773', '219', '38', '2020-10-28', '13:39:41', '2020-10-13', '24:20:37'] has been removed.
Line ['89861', '2020-11-15', '17:46:52', '27262', '6713', '152', '21', '2020-10-13', '24:16:57', '2020-10-27', '22:18:58'] has been removed.
Line ['89216', '2020-12-23', '15:23:43', '44528', '1909', '309', '12', '2020-12-12', '24:41:59', '2020-11-10', '21:16:49'] has been removed.
Line ['69022', '2020-10-12', '24:49:37', '62842', '6532', '461', '20', '2020-11-17', '23:57:38', '2020-11-21', '12:50:18'] has been removed.
Line ['67928', '2020-12-28', '19:30:28', '1970', '5358', '188', '32', '2020-11-27', '23:28:23', '2020-11-26', '24:22:24'] has been removed.
Line ['58463', '2020-11-10', '24:31:25', '63485', '1627', '52', '17', '2020-10-28', '19:27:42', '2020-12-18', '17:25:56'] has been removed.
Line ['40163', '2020-10-23', '21:26:29', '4791', '7660', '617', '46', '2020-10-26', '23:51:38', '2020-10-30', '24:53:41'] has been removed.
Line ['48328', '2020-10-15', '22:15:32', '74729', '6534', '723', '9', '2020-12-10', '17:15:12', '2020-10-21', '24:47:43'] has been removed.
Line ['59786', '2020-11-29', '23:21:55', '52562', '6297', '30', '18', '2020-12-11', '24:18:40', '2020-12-16', '12:36:31'] has been removed.
Line ['5131', '2020-12-13', '24:24:32', '73348', '5801', '500', '20', '2020-10-29', '21:55:30', '2020-10-15', '23:30:22'] has been removed.
Line ['8870', '2020-11-25', '20:53:23', '6888', '8497', '706', '44', '2020-11-14', '19:30:40', '2020-12-14', '24:31:14'] has been removed.
Line ['93826', '2020-11-17', '21:42:47', '30039', '8270', '683', '37', '2020-10-13', '24:29:24', '2020-11-11', '20:42:29'] has been removed.
Line ['58839', '2020-11-16', '22:27:43', '73493', '9575', '953', '3', '2020-10-10', '12:37:18', '2020-11-24', '24:56:46'] has been removed.
Line ['65711', '2020-11-22', '24:54:58', '49926', '3435', '646', '37', '2020-11-12', '12:24:34', '2020-10-19', '12:24:19'] has been removed.
Line ['78368', '2020-10-19', '16:54:31', '95027', '9041', '903', '24', '2020-12-10', '24:38:57', '2020-11-18', '20:36:46'] has been removed.
